id;cliente;sucursal;delivery;despachador;plato;fecha;hora;estado
1;Antonio.Rivera@bbdduc.utopia;Maintencin;ATuCasa;Jordan Warren;0;2023-12-19;14:57:50-03;Cliente cancela 
3;Ignacia.Rio@bbdduc.utopia;Estado;FoodBasics;Ava Davis;49  81;2023-06-03;17:22:11-03;restaurant cancela
4;Bruno.Rico@bbdduc.utopia;Apoquindo;ATuCasa;Alexander Robinson;92;2023-03-02;6:08:06-03;entregado a cliente
6;Elias.Santibanez@bbdduc.utopia;Grecia;UbreFoods;Camila Green;58  82;2023-01-29;23:22:45-03;Cliente cancela 
8;Andres.Balzan@bbdduc.utopia;Grecia;FoodBasics;John Brooks;5  6;2023-09-15;14:50:58-03;restaurant cancela
7;Nicolas.Zambrano@bbdduc.utopia;Maintencin;Balloon;Eli Howard;1  19  56  6;2023-09-23;9:18:36-03;entregado a cliente
10;Angeles.Monzon@bbdduc.utopia;Maintencin;PedidosNow;Charles Butler;7  26  28;2023-05-11;20:27:25-03;entregado a cliente
12;Santiago.Garcia@bbdduc.utopia;Estado;ComidaAhora;Jose Coleman;83;2023-07-26;4:09:58-03;Cliente cancela 
13;Agustin.Matte@bbdduc.utopia;Apoquindo;FastDelivery;Penelope Murphy;91;2023-10-04;22:49:09-03;restaurant cancela
19;Andrea.Guevara@bbdduc.utopia;Estado;FastDelivery;William Moore;77  22;2023-05-20;2:01:55-03;entregado a cliente
15;Ignacio.Mellado@bbdduc.utopia;Maintencin;UbreFoods;Benjamin Jackson;2;2023-02-02;22:11:38-03;entregado a cliente
16;Ignacia.Rolando@bbdduc.utopia;Maintencin;UbreFoods;Camila Green;20  41  10;2023-10-04;10:30:13-03;delivery cancela 
17;Nicolas.Plaza@bbdduc.utopia;Maintencin;Balloon;Cole Palmer;6;2023-07-16;12:52:44-03;Cliente cancela 
18;Abel.Gandolfi@bbdduc.utopia;Grecia;ATuCasa;Jaxon Hunt;21;2023-03-05;15:20:47-03;entregado a cliente
20;Eduardo.Cortez@bbdduc.utopia;Apoquindo;FoodNow;Carter Adams;24  91  89;2023-10-20;8:30:56-03;en preparacion 
21;Humberto.Hormann@bbdduc.utopia;Viel;SlowDelivery;Colton Cox;93;2023-03-28;22:35:38-03;Cliente cancela 
22;Ignacio.Conejeros@bbdduc.utopia;OHiggins;Balloon;Evelyn Garcia;48;2023-07-08;15:20:40-03;restaurant cancela
23;Ignacia.Greene@bbdduc.utopia;Prat;ATuCasa;Madelyn Henderson;93;2023-09-29;23:27:09-03;entregado a cliente
25;Alejandro.Daroca@bbdduc.utopia;Grecia;FastDelivery;Jonathan Richardson;62;2023-11-02;5:33:11-03;entregado a cliente
27;Andres.Barrera@bbdduc.utopia;Apoquindo;ATuCasa;Everly Turner;8;2023-07-10;7:10:09-03;delivery cancela 
24;Nicolas.Munoz@bbdduc.utopia;Maintencin;NotRappido;Eli Howard;40;2023-07-23;0:51:52-03;entregado a cliente
29;Andres.Gallardo@bbdduc.utopia;OHiggins;Speed;Lucy Myers;19;2023-05-19;8:40:47-03;en preparacion 
31;Yerhov.Silberberg@bbdduc.utopia;Alemania;DCCRappi;Camila Green;77  39;2023-03-25;10:09:21-03;delivery cancela 
